national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2018,120.954,4
Nacional,,General,Index,2018,120.491,3
Nacional,,General,Index,2018,117.941,2
Nacional,,General,Index,2018,114.994,1
Nacional,,General,Quarterly variation rate,2018,0.4,4
Nacional,,General,Quarterly variation rate,2018,2.2,3
Nacional,,General,Quarterly variation rate,2018,2.6,2
Nacional,,General,Quarterly variation rate,2018,1.4,1
Nacional,,General,Annual variation,2018,6.6,4
Nacional,,General,Annual variation,2018,7.2,3
Nacional,,General,Annual variation,2018,6.8,2
Nacional,,General,Annual variation,2018,6.2,1
Nacional,,General,Year-to-date variation rate,2018,6.6,4
Nacional,,General,Year-to-date variation rate,2018,6.2,3
Nacional,,General,Year-to-date variation rate,2018,4.0,2
Nacional,,General,Year-to-date variation rate,2018,1.4,1
Nacional,,New dwelling,Index,2018,123.044,4
Nacional,,New dwelling,Index,2018,121.645,3
Nacional,,New dwelling,Index,2018,119.235,2
Nacional,,New dwelling,Index,2018,116.249,1
Nacional,,New dwelling,Quarterly variation rate,2018,1.2,4
Nacional,,New dwelling,Quarterly variation rate,2018,2.0,3
Nacional,,New dwelling,Quarterly variation rate,2018,2.6,2
Nacional,,New dwelling,Quarterly variation rate,2018,2.1,1
Nacional,,New dwelling,Annual variation,2018,8.0,4
Nacional,,New dwelling,Annual variation,2018,6.1,3
Nacional,,New dwelling,Annual variation,2018,5.7,2
Nacional,,New dwelling,Annual variation,2018,5.7,1
Nacional,,New dwelling,Year-to-date variation rate,2018,8.0,4
Nacional,,New dwelling,Year-to-date variation rate,2018,6.8,3
Nacional,,New dwelling,Year-to-date variation rate,2018,4.7,2
Nacional,,New dwelling,Year-to-date variation rate,2018,2.1,1
Nacional,,Second-hand dwelling,Index,2018,120.656,4
Nacional,,Second-hand dwelling,Index,2018,120.321,3
Nacional,,Second-hand dwelling,Index,2018,117.752,2
Nacional,,Second-hand dwelling,Index,2018,114.81,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2018,0.3,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2018,2.2,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2018,2.6,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2018,1.3,1
Nacional,,Second-hand dwelling,Annual variation,2018,6.4,4
Nacional,,Second-hand dwelling,Annual variation,2018,7.3,3
Nacional,,Second-hand dwelling,Annual variation,2018,7.0,2
Nacional,,Second-hand dwelling,Annual variation,2018,6.3,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2018,6.4,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2018,6.1,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2018,3.9,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2018,1.3,1
Nacional,01 Andalucía,General,Index,2018,113.831,4
Nacional,01 Andalucía,General,Index,2018,112.673,3
Nacional,01 Andalucía,General,Index,2018,110.695,2
Nacional,01 Andalucía,General,Index,2018,108.283,1
Nacional,01 Andalucía,General,Quarterly variation rate,2018,1.0,4
Nacional,01 Andalucía,General,Quarterly variation rate,2018,1.8,3
Nacional,01 Andalucía,General,Quarterly variation rate,2018,2.2,2
Nacional,01 Andalucía,General,Quarterly variation rate,2018,0.5,1
Nacional,01 Andalucía,General,Annual variation,2018,5.6,4
Nacional,01 Andalucía,General,Annual variation,2018,5.4,3
Nacional,01 Andalucía,General,Annual variation,2018,4.8,2
Nacional,01 Andalucía,General,Annual variation,2018,4.1,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2018,5.6,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2018,4.6,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2018,2.7,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2018,0.5,1
Nacional,01 Andalucía,New dwelling,Index,2018,120.724,4
Nacional,01 Andalucía,New dwelling,Index,2018,120.063,3
Nacional,01 Andalucía,New dwelling,Index,2018,116.144,2
Nacional,01 Andalucía,New dwelling,Index,2018,113.862,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2018,0.6,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2018,3.4,3
