national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2009,136.313,4
Nacional,,General,Index,2009,136.845,3
Nacional,,General,Index,2009,138.082,2
Nacional,,General,Index,2009,138.693,1
Nacional,,General,Quarterly variation rate,2009,-0.4,4
Nacional,,General,Quarterly variation rate,2009,-0.9,3
Nacional,,General,Quarterly variation rate,2009,-0.4,2
Nacional,,General,Quarterly variation rate,2009,-2.7,1
Nacional,,General,Annual variation,2009,-4.3,4
Nacional,,General,Annual variation,2009,-7.0,3
Nacional,,General,Annual variation,2009,-7.7,2
Nacional,,General,Annual variation,2009,-7.6,1
Nacional,,General,Year-to-date variation rate,2009,-4.3,4
Nacional,,General,Year-to-date variation rate,2009,-4.0,3
Nacional,,General,Year-to-date variation rate,2009,-3.1,2
Nacional,,General,Year-to-date variation rate,2009,-2.7,1
Nacional,,New dwelling,Index,2009,128.647,4
Nacional,,New dwelling,Index,2009,129.71,3
Nacional,,New dwelling,Index,2009,131.365,2
Nacional,,New dwelling,Index,2009,132.281,1
Nacional,,New dwelling,Quarterly variation rate,2009,-0.8,4
Nacional,,New dwelling,Quarterly variation rate,2009,-1.3,3
Nacional,,New dwelling,Quarterly variation rate,2009,-0.7,2
Nacional,,New dwelling,Quarterly variation rate,2009,-2.4,1
Nacional,,New dwelling,Annual variation,2009,-5.1,4
Nacional,,New dwelling,Annual variation,2009,-5.6,3
Nacional,,New dwelling,Annual variation,2009,-3.9,2
Nacional,,New dwelling,Annual variation,2009,-2.0,1
Nacional,,New dwelling,Year-to-date variation rate,2009,-5.1,4
Nacional,,New dwelling,Year-to-date variation rate,2009,-4.3,3
Nacional,,New dwelling,Year-to-date variation rate,2009,-3.1,2
Nacional,,New dwelling,Year-to-date variation rate,2009,-2.4,1
Nacional,,Second-hand dwelling,Index,2009,142.127,4
Nacional,,Second-hand dwelling,Index,2009,141.958,3
Nacional,,Second-hand dwelling,Index,2009,142.616,2
Nacional,,Second-hand dwelling,Index,2009,142.815,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2009,0.1,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2009,-0.5,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2009,-0.1,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2009,-3.0,1
Nacional,,Second-hand dwelling,Annual variation,2009,-3.5,4
Nacional,,Second-hand dwelling,Annual variation,2009,-8.3,3
Nacional,,Second-hand dwelling,Annual variation,2009,-11.2,2
Nacional,,Second-hand dwelling,Annual variation,2009,-12.5,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2009,-3.5,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2009,-3.6,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2009,-3.2,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2009,-3.0,1
Nacional,01 Andalucía,General,Index,2009,129.541,4
Nacional,01 Andalucía,General,Index,2009,129.93,3
Nacional,01 Andalucía,General,Index,2009,130.679,2
Nacional,01 Andalucía,General,Index,2009,130.5,1
Nacional,01 Andalucía,General,Quarterly variation rate,2009,-0.3,4
Nacional,01 Andalucía,General,Quarterly variation rate,2009,-0.6,3
Nacional,01 Andalucía,General,Quarterly variation rate,2009,0.1,2
Nacional,01 Andalucía,General,Quarterly variation rate,2009,-1.0,1
Nacional,01 Andalucía,General,Annual variation,2009,-1.7,4
Nacional,01 Andalucía,General,Annual variation,2009,-4.0,3
Nacional,01 Andalucía,General,Annual variation,2009,-3.3,2
Nacional,01 Andalucía,General,Annual variation,2009,-3.9,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2009,-1.7,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2009,-1.5,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2009,-0.9,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2009,-1.0,1
Nacional,01 Andalucía,New dwelling,Index,2009,119.491,4
Nacional,01 Andalucía,New dwelling,Index,2009,120.369,3
Nacional,01 Andalucía,New dwelling,Index,2009,121.007,2
Nacional,01 Andalucía,New dwelling,Index,2009,121.762,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2009,-0.7,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2009,-0.5,3
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2009,-0.6,2
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2009,0.1,1
Nacional,01 Andalucía,New dwelling,Annual variation,2009,-1.8,4
Nacional,01 Andalucía,New dwelling,Annual variation,2009,-2.2,3
Nacional,01 Andalucía,New dwelling,Annual variation,2009,0.6,2
Nacional,01 Andalucía,New dwelling,Annual variation,2009,2.0,1
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2009,-1.8,4
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2009,-1.0,3
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2009,-0.5,2
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2009,0.1,1
Nacional,01 Andalucía,Second-hand dwelling,Index,2009,136.203,4
Nacional,01 Andalucía,Second-hand dwelling,Index,2009,135.816,3
Nacional,01 Andalucía,Second-hand dwelling,Index,2009,136.685,2
Nacional,01 Andalucía,Second-hand dwelling,Index,2009,135.086,1
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2009,0.3,4
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2009,-0.6,3
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2009,1.2,2
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2009,-2.5,1
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2009,-1.7,4
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2009,-5.9,3
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2009,-7.3,2
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2009,-9.8,1
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2009,-1.7,4
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2009,-2.0,3
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2009,-1.4,2
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2009,-2.5,1
Nacional,02 Aragón,General,Index,2009,153.443,4
Nacional,02 Aragón,General,Index,2009,155.071,3
Nacional,02 Aragón,General,Index,2009,158.625,2
Nacional,02 Aragón,General,Index,2009,158.726,1
Nacional,02 Aragón,General,Quarterly variation rate,2009,-1.0,4
Nacional,02 Aragón,General,Quarterly variation rate,2009,-2.2,3
Nacional,02 Aragón,General,Quarterly variation rate,2009,-0.1,2
Nacional,02 Aragón,General,Quarterly variation rate,2009,-3.6,1
Nacional,02 Aragón,General,Annual variation,2009,-6.8,4
Nacional,02 Aragón,General,Annual variation,2009,-8.5,3
Nacional,02 Aragón,General,Annual variation,2009,-10.0,2
Nacional,02 Aragón,General,Annual variation,2009,-9.7,1
Nacional,02 Aragón,General,Year-to-date variation rate,2009,-6.8,4
Nacional,02 Aragón,General,Year-to-date variation rate,2009,-5.8,3
Nacional,02 Aragón,General,Year-to-date variation rate,2009,-3.7,2
Nacional,02 Aragón,General,Year-to-date variation rate,2009,-3.6,1
Nacional,02 Aragón,New dwelling,Index,2009,147.64,4
Nacional,02 Aragón,New dwelling,Index,2009,150.489,3
Nacional,02 Aragón,New dwelling,Index,2009,154.374,2
Nacional,02 Aragón,New dwelling,Index,2009,154.126,1
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2009,-1.9,4
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2009,-2.5,3
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2009,0.2,2
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2009,-3.8,1
Nacional,02 Aragón,New dwelling,Annual variation,2009,-7.9,4
Nacional,02 Aragón,New dwelling,Annual variation,2009,-5.5,3
Nacional,02 Aragón,New dwelling,Annual variation,2009,-5.2,2
Nacional,02 Aragón,New dwelling,Annual variation,2009,-3.2,1
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2009,-7.9,4
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2009,-6.1,3
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2009,-3.7,2
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2009,-3.8,1
Nacional,02 Aragón,Second-hand dwelling,Index,2009,158.005,4
