national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2011,118.782,4
Nacional,,General,Index,2011,123.948,3
Nacional,,General,Index,2011,127.528,2
Nacional,,General,Index,2011,129.059,1
Nacional,,General,Quarterly variation rate,2011,-4.2,4
Nacional,,General,Quarterly variation rate,2011,-2.8,3
Nacional,,General,Quarterly variation rate,2011,-1.2,2
Nacional,,General,Quarterly variation rate,2011,-3.5,1
Nacional,,General,Annual variation,2011,-11.2,4
Nacional,,General,Annual variation,2011,-7.4,3
Nacional,,General,Annual variation,2011,-6.8,2
Nacional,,General,Annual variation,2011,-4.1,1
Nacional,,General,Year-to-date variation rate,2011,-11.2,4
Nacional,,General,Year-to-date variation rate,2011,-7.3,3
Nacional,,General,Year-to-date variation rate,2011,-4.6,2
Nacional,,General,Year-to-date variation rate,2011,-3.5,1
Nacional,,New dwelling,Index,2011,115.139,4
Nacional,,New dwelling,Index,2011,120.016,3
Nacional,,New dwelling,Index,2011,122.445,2
Nacional,,New dwelling,Index,2011,124.259,1
Nacional,,New dwelling,Quarterly variation rate,2011,-4.1,4
Nacional,,New dwelling,Quarterly variation rate,2011,-2.0,3
Nacional,,New dwelling,Quarterly variation rate,2011,-1.5,2
Nacional,,New dwelling,Quarterly variation rate,2011,-1.3,1
Nacional,,New dwelling,Annual variation,2011,-8.5,4
Nacional,,New dwelling,Annual variation,2011,-5.0,3
Nacional,,New dwelling,Annual variation,2011,-5.2,2
Nacional,,New dwelling,Annual variation,2011,-1.9,1
Nacional,,New dwelling,Year-to-date variation rate,2011,-8.5,4
Nacional,,New dwelling,Year-to-date variation rate,2011,-4.7,3
Nacional,,New dwelling,Year-to-date variation rate,2011,-2.7,2
Nacional,,New dwelling,Year-to-date variation rate,2011,-1.3,1
Nacional,,Second-hand dwelling,Index,2011,120.666,4
Nacional,,Second-hand dwelling,Index,2011,126.055,3
Nacional,,Second-hand dwelling,Index,2011,130.805,2
Nacional,,Second-hand dwelling,Index,2011,132.007,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2011,-4.3,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2011,-3.6,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2011,-0.9,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2011,-5.6,1
Nacional,,Second-hand dwelling,Annual variation,2011,-13.7,4
Nacional,,Second-hand dwelling,Annual variation,2011,-9.6,3
Nacional,,Second-hand dwelling,Annual variation,2011,-8.3,2
Nacional,,Second-hand dwelling,Annual variation,2011,-6.3,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2011,-13.7,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2011,-9.8,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2011,-6.4,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2011,-5.6,1
Nacional,01 Andalucía,General,Index,2011,116.257,4
Nacional,01 Andalucía,General,Index,2011,119.932,3
Nacional,01 Andalucía,General,Index,2011,122.836,2
Nacional,01 Andalucía,General,Index,2011,122.879,1
Nacional,01 Andalucía,General,Quarterly variation rate,2011,-3.1,4
Nacional,01 Andalucía,General,Quarterly variation rate,2011,-2.4,3
Nacional,01 Andalucía,General,Quarterly variation rate,2011,0.0,2
Nacional,01 Andalucía,General,Quarterly variation rate,2011,-3.1,1
Nacional,01 Andalucía,General,Annual variation,2011,-8.4,4
Nacional,01 Andalucía,General,Annual variation,2011,-5.7,3
Nacional,01 Andalucía,General,Annual variation,2011,-5.6,2
Nacional,01 Andalucía,General,Annual variation,2011,-4.3,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2011,-8.4,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2011,-5.5,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2011,-3.2,2
