national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2012,103.593,4
Nacional,,General,Index,2012,105.073,3
Nacional,,General,Index,2012,109.187,2
Nacional,,General,Index,2012,112.861,1
Nacional,,General,Quarterly variation rate,2012,-1.4,4
Nacional,,General,Quarterly variation rate,2012,-3.8,3
Nacional,,General,Quarterly variation rate,2012,-3.3,2
Nacional,,General,Quarterly variation rate,2012,-5.0,1
Nacional,,General,Annual variation,2012,-12.8,4
Nacional,,General,Annual variation,2012,-15.2,3
Nacional,,General,Annual variation,2012,-14.4,2
Nacional,,General,Annual variation,2012,-12.6,1
Nacional,,General,Year-to-date variation rate,2012,-12.8,4
Nacional,,General,Year-to-date variation rate,2012,-11.5,3
Nacional,,General,Year-to-date variation rate,2012,-8.1,2
Nacional,,General,Year-to-date variation rate,2012,-5.0,1
Nacional,,New dwelling,Index,2012,102.554,4
Nacional,,New dwelling,Index,2012,103.702,3
Nacional,,New dwelling,Index,2012,106.796,2
Nacional,,New dwelling,Index,2012,109.595,1
Nacional,,New dwelling,Quarterly variation rate,2012,-1.1,4
Nacional,,New dwelling,Quarterly variation rate,2012,-2.9,3
Nacional,,New dwelling,Quarterly variation rate,2012,-2.6,2
Nacional,,New dwelling,Quarterly variation rate,2012,-4.8,1
Nacional,,New dwelling,Annual variation,2012,-10.9,4
Nacional,,New dwelling,Annual variation,2012,-13.6,3
Nacional,,New dwelling,Annual variation,2012,-12.8,2
Nacional,,New dwelling,Annual variation,2012,-11.8,1
Nacional,,New dwelling,Year-to-date variation rate,2012,-10.9,4
Nacional,,New dwelling,Year-to-date variation rate,2012,-9.9,3
Nacional,,New dwelling,Year-to-date variation rate,2012,-7.2,2
Nacional,,New dwelling,Year-to-date variation rate,2012,-4.8,1
Nacional,,Second-hand dwelling,Index,2012,103.724,4
Nacional,,Second-hand dwelling,Index,2012,105.43,3
Nacional,,Second-hand dwelling,Index,2012,110.242,2
Nacional,,Second-hand dwelling,Index,2012,114.514,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2012,-1.6,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2012,-4.4,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2012,-3.7,2
