national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2020,127.179,4
Nacional,,General,Index,2020,128.255,3
Nacional,,General,Index,2020,126.799,2
Nacional,,General,Index,2020,126.695,1
Nacional,,General,Quarterly variation rate,2020,-0.8,4
Nacional,,General,Quarterly variation rate,2020,1.1,3
Nacional,,General,Quarterly variation rate,2020,0.1,2
Nacional,,General,Quarterly variation rate,2020,1.1,1
Nacional,,General,Annual variation,2020,1.5,4
Nacional,,General,Annual variation,2020,1.7,3
Nacional,,General,Annual variation,2020,2.1,2
Nacional,,General,Annual variation,2020,3.2,1
Nacional,,General,Year-to-date variation rate,2020,1.5,4
Nacional,,General,Year-to-date variation rate,2020,2.3,3
Nacional,,General,Year-to-date variation rate,2020,1.2,2
Nacional,,General,Year-to-date variation rate,2020,1.1,1
Nacional,,New dwelling,Index,2020,140.144,4
Nacional,,New dwelling,Index,2020,139.4,3
Nacional,,New dwelling,Index,2020,133.093,2
Nacional,,New dwelling,Index,2020,136.156,1
Nacional,,New dwelling,Quarterly variation rate,2020,0.5,4
Nacional,,New dwelling,Quarterly variation rate,2020,4.7,3
Nacional,,New dwelling,Quarterly variation rate,2020,-2.2,2
Nacional,,New dwelling,Quarterly variation rate,2020,5.1,1
Nacional,,New dwelling,Annual variation,2020,8.2,4
Nacional,,New dwelling,Annual variation,2020,7.5,3
Nacional,,New dwelling,Annual variation,2020,4.2,2
Nacional,,New dwelling,Annual variation,2020,6.1,1
Nacional,,New dwelling,Year-to-date variation rate,2020,8.2,4
Nacional,,New dwelling,Year-to-date variation rate,2020,7.6,3
Nacional,,New dwelling,Year-to-date variation rate,2020,2.8,2
Nacional,,New dwelling,Year-to-date variation rate,2020,5.1,1
Nacional,,Second-hand dwelling,Index,2020,125.222,4
Nacional,,Second-hand dwelling,Index,2020,126.58,3
Nacional,,Second-hand dwelling,Index,2020,125.875,2
Nacional,,Second-hand dwelling,Index,2020,125.28,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2020,-1.1,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2020,0.6,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2020,0.5,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2020,0.4,1
Nacional,,Second-hand dwelling,Annual variation,2020,0.4,4
Nacional,,Second-hand dwelling,Annual variation,2020,0.8,3
Nacional,,Second-hand dwelling,Annual variation,2020,1.8,2
Nacional,,Second-hand dwelling,Annual variation,2020,2.7,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2020,0.4,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2020,1.5,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2020,0.9,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2020,0.4,1
Nacional,01 Andalucía,General,Index,2020,120.518,4
Nacional,01 Andalucía,General,Index,2020,120.819,3
Nacional,01 Andalucía,General,Index,2020,119.613,2
Nacional,01 Andalucía,General,Index,2020,119.44,1
Nacional,01 Andalucía,General,Quarterly variation rate,2020,-0.2,4
Nacional,01 Andalucía,General,Quarterly variation rate,2020,1.0,3
Nacional,01 Andalucía,General,Quarterly variation rate,2020,0.1,2
Nacional,01 Andalucía,General,Quarterly variation rate,2020,0.7,1
Nacional,01 Andalucía,General,Annual variation,2020,1.7,4
Nacional,01 Andalucía,General,Annual variation,2020,1.2,3
Nacional,01 Andalucía,General,Annual variation,2020,2.4,2
Nacional,01 Andalucía,General,Annual variation,2020,4.1,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2020,1.7,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2020,1.9,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2020,0.9,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2020,0.7,1
Nacional,01 Andalucía,New dwelling,Index,2020,140.672,4
Nacional,01 Andalucía,New dwelling,Index,2020,138.942,3
Nacional,01 Andalucía,New dwelling,Index,2020,133.607,2
