model_name,p,d,q,mae,mape,rmse,train_range,predict_range,mode
"Arima-auto(1,0,4) 2008Q1-2021Q42022Q1-2022Q4",1,0,4,9.44120205964569,0.06675622563794636,9.505461974892429,2008Q1-2021Q4,2022Q1-2022Q4,auto
"Arima-manual(2,1,0) 2008Q1-2021Q42022Q1-2022Q4",2,1,0,10.440647473558208,0.07393880460523165,10.725328138863775,2008Q1-2021Q4,2022Q1-2022Q4,manual
