National Total;Autonomous Communities and Cities;Index type;Indices and rates;Periodo;Total
Nacional;;General;Index;2023QII;146.583
Nacional;;General;Index;2023QI;143.58
Nacional;;General;Index;2022QIV;142.666
Nacional;;General;Index;2022QIII;143.86
Nacional;;General;Index;2022QII;141.433
Nacional;;General;Index;2022QI;138.742
Nacional;;General;Index;2021QIV;135.291
Nacional;;General;Index;2021QIII;133.652
Nacional;;General;Index;2021QII;130.937
Nacional;;General;Index;2021QI;127.831
Nacional;;General;Index;2020QIV;127.179
Nacional;;General;Index;2020QIII;128.255
Nacional;;General;Index;2020QII;126.799
Nacional;;General;Index;2020QI;126.695
Nacional;;General;Index;2019QIV;125.32
Nacional;;General;Index;2019QIII;126.135
Nacional;;General;Index;2019QII;124.175
Nacional;;General;Index;2019QI;122.758
Nacional;;General;Index;2018QIV;120.954
Nacional;;General;Index;2018QIII;120.491
Nacional;;General;Index;2018QII;117.941
Nacional;;General;Index;2018QI;114.994
Nacional;;General;Index;2017QIV;113.457
Nacional;;General;Index;2017QIII;112.442
Nacional;;General;Index;2017QII;110.41
Nacional;;General;Index;2017QI;108.239
Nacional;;General;Index;2016QIV;105.848
Nacional;;General;Index;2016QIII;105.431
Nacional;;General;Index;2016QII;104.601
Nacional;;General;Index;2016QI;102.775
Nacional;;General;Index;2015QIV;101.305
Nacional;;General;Index;2015QIII;101.358
Nacional;;General;Index;2015QII;100.687
Nacional;;General;Index;2015QI;96.651
Nacional;;General;Index;2014QIV;97.194
Nacional;;General;Index;2014QIII;97.002
Nacional;;General;Index;2014QII;96.805
Nacional;;General;Index;2014QI;95.208
Nacional;;General;Index;2013QIV;95.512
Nacional;;General;Index;2013QIII;96.742
Nacional;;General;Index;2013QII;96.041
Nacional;;General;Index;2013QI;96.768
Nacional;;General;Index;2012QIV;103.593
Nacional;;General;Index;2012QIII;105.073
Nacional;;General;Index;2012QII;109.187
Nacional;;General;Index;2012QI;112.861
Nacional;;General;Index;2011QIV;118.782
Nacional;;General;Index;2011QIII;123.948
Nacional;;General;Index;2011QII;127.528
Nacional;;General;Index;2011QI;129.059
Nacional;;General;Index;2010QIV;133.718
Nacional;;General;Index;2010QIII;133.846
Nacional;;General;Index;2010QII;136.79
Nacional;;General;Index;2010QI;134.626
Nacional;;General;Index;2009QIV;136.313
Nacional;;General;Index;2009QIII;136.845
Nacional;;General;Index;2009QII;138.082
Nacional;;General;Index;2009QI;138.693
Nacional;;General;Index;2008QIV;142.511
Nacional;;General;Index;2008QIII;147.134
Nacional;;General;Index;2008QII;149.618
Nacional;;General;Index;2008QI;150.082
Nacional;;General;Index;2007QIV;150.64
Nacional;;General;Index;2007QIII;151.719
Nacional;;General;Index;2007QII;150.103
Nacional;;General;Index;2007QI;145.935
Nacional;;General;Quarterly variation rate;2023QII;2.1
Nacional;;General;Quarterly variation rate;2023QI;0.6
Nacional;;General;Quarterly variation rate;2022QIV;-0.8
Nacional;;General;Quarterly variation rate;2022QIII;1.7
Nacional;;General;Quarterly variation rate;2022QII;1.9
Nacional;;General;Quarterly variation rate;2022QI;2.6
Nacional;;General;Quarterly variation rate;2021QIV;1.2
Nacional;;General;Quarterly variation rate;2021QIII;2.1
Nacional;;General;Quarterly variation rate;2021QII;2.4
Nacional;;General;Quarterly variation rate;2021QI;0.5
Nacional;;General;Quarterly variation rate;2020QIV;-0.8
Nacional;;General;Quarterly variation rate;2020QIII;1.1
Nacional;;General;Quarterly variation rate;2020QII;0.1
Nacional;;General;Quarterly variation rate;2020QI;1.1
Nacional;;General;Quarterly variation rate;2019QIV;-0.6
Nacional;;General;Quarterly variation rate;2019QIII;1.6
Nacional;;General;Quarterly variation rate;2019QII;1.2
Nacional;;General;Quarterly variation rate;2019QI;1.5
Nacional;;General;Quarterly variation rate;2018QIV;0.4
Nacional;;General;Quarterly variation rate;2018QIII;2.2
Nacional;;General;Quarterly variation rate;2018QII;2.6
Nacional;;General;Quarterly variation rate;2018QI;1.4
Nacional;;General;Quarterly variation rate;2017QIV;0.9
Nacional;;General;Quarterly variation rate;2017QIII;1.8
Nacional;;General;Quarterly variation rate;2017QII;2
Nacional;;General;Quarterly variation rate;2017QI;2.3
Nacional;;General;Quarterly variation rate;2016QIV;0.4
Nacional;;General;Quarterly variation rate;2016QIII;0.8
Nacional;;General;Quarterly variation rate;2016QII;1.8
Nacional;;General;Quarterly variation rate;2016QI;1.5
Nacional;;General;Quarterly variation rate;2015QIV;-0.1
Nacional;;General;Quarterly variation rate;2015QIII;0.7
Nacional;;General;Quarterly variation rate;2015QII;4.2
Nacional;;General;Quarterly variation rate;2015QI;-0.6
Nacional;;General;Quarterly variation rate;2014QIV;0.2
Nacional;;General;Quarterly variation rate;2014QIII;0.2
Nacional;;General;Quarterly variation rate;2014QII;1.7
Nacional;;General;Quarterly variation rate;2014QI;-0.3
Nacional;;General;Quarterly variation rate;2013QIV;-1.3
Nacional;;General;Quarterly variation rate;2013QIII;0.7
Nacional;;General;Quarterly variation rate;2013QII;-0.8
Nacional;;General;Quarterly variation rate;2013QI;-6.6
Nacional;;General;Quarterly variation rate;2012QIV;-1.4
Nacional;;General;Quarterly variation rate;2012QIII;-3.8
Nacional;;General;Quarterly variation rate;2012QII;-3.3
Nacional;;General;Quarterly variation rate;2012QI;-5
Nacional;;General;Quarterly variation rate;2011QIV;-4.2
Nacional;;General;Quarterly variation rate;2011QIII;-2.8
Nacional;;General;Quarterly variation rate;2011QII;-1.2
Nacional;;General;Quarterly variation rate;2011QI;-3.5
Nacional;;General;Quarterly variation rate;2010QIV;-0.1
Nacional;;General;Quarterly variation rate;2010QIII;-2.2
Nacional;;General;Quarterly variation rate;2010QII;1.6
Nacional;;General;Quarterly variation rate;2010QI;-1.2
Nacional;;General;Quarterly variation rate;2009QIV;-0.4
Nacional;;General;Quarterly variation rate;2009QIII;-0.9
Nacional;;General;Quarterly variation rate;2009QII;-0.4
Nacional;;General;Quarterly variation rate;2009QI;-2.7
Nacional;;General;Quarterly variation rate;2008QIV;-3.1
Nacional;;General;Quarterly variation rate;2008QIII;-1.7
Nacional;;General;Quarterly variation rate;2008QII;-0.3
Nacional;;General;Quarterly variation rate;2008QI;-0.4
Nacional;;General;Quarterly variation rate;2007QIV;-0.7
Nacional;;General;Quarterly variation rate;2007QIII;1.1
Nacional;;General;Quarterly variation rate;2007QII;2.9
Nacional;;General;Quarterly variation rate;2007QI;2.4
Nacional;;General;Annual variation;2023QII;3.6
Nacional;;General;Annual variation;2023QI;3.5
Nacional;;General;Annual variation;2022QIV;5.5
Nacional;;General;Annual variation;2022QIII;7.6
Nacional;;General;Annual variation;2022QII;8
Nacional;;General;Annual variation;2022QI;8.5
Nacional;;General;Annual variation;2021QIV;6.4
Nacional;;General;Annual variation;2021QIII;4.2
Nacional;;General;Annual variation;2021QII;3.3
Nacional;;General;Annual variation;2021QI;0.9
Nacional;;General;Annual variation;2020QIV;1.5
Nacional;;General;Annual variation;2020QIII;1.7
Nacional;;General;Annual variation;2020QII;2.1
Nacional;;General;Annual variation;2020QI;3.2
Nacional;;General;Annual variation;2019QIV;3.6
Nacional;;General;Annual variation;2019QIII;4.7
Nacional;;General;Annual variation;2019QII;5.3
Nacional;;General;Annual variation;2019QI;6.8
Nacional;;General;Annual variation;2018QIV;6.6
Nacional;;General;Annual variation;2018QIII;7.2
Nacional;;General;Annual variation;2018QII;6.8
Nacional;;General;Annual variation;2018QI;6.2
Nacional;;General;Annual variation;2017QIV;7.2
Nacional;;General;Annual variation;2017QIII;6.7
Nacional;;General;Annual variation;2017QII;5.6
Nacional;;General;Annual variation;2017QI;5.3
Nacional;;General;Annual variation;2016QIV;4.5
Nacional;;General;Annual variation;2016QIII;4
Nacional;;General;Annual variation;2016QII;3.9
Nacional;;General;Annual variation;2016QI;6.3
Nacional;;General;Annual variation;2015QIV;4.2
Nacional;;General;Annual variation;2015QIII;4.5
Nacional;;General;Annual variation;2015QII;4
Nacional;;General;Annual variation;2015QI;1.5
Nacional;;General;Annual variation;2014QIV;1.8
Nacional;;General;Annual variation;2014QIII;0.3
Nacional;;General;Annual variation;2014QII;0.8
Nacional;;General;Annual variation;2014QI;-1.6
Nacional;;General;Annual variation;2013QIV;-7.8
Nacional;;General;Annual variation;2013QIII;-7.9
Nacional;;General;Annual variation;2013QII;-12
Nacional;;General;Annual variation;2013QI;-14.3
Nacional;;General;Annual variation;2012QIV;-12.8
Nacional;;General;Annual variation;2012QIII;-15.2
Nacional;;General;Annual variation;2012QII;-14.4
Nacional;;General;Annual variation;2012QI;-12.6
Nacional;;General;Annual variation;2011QIV;-11.2
Nacional;;General;Annual variation;2011QIII;-7.4
Nacional;;General;Annual variation;2011QII;-6.8
Nacional;;General;Annual variation;2011QI;-4.1
Nacional;;General;Annual variation;2010QIV;-1.9
Nacional;;General;Annual variation;2010QIII;-2.2
Nacional;;General;Annual variation;2010QII;-0.9
Nacional;;General;Annual variation;2010QI;-2.9
Nacional;;General;Annual variation;2009QIV;-4.3
Nacional;;General;Annual variation;2009QIII;-7
Nacional;;General;Annual variation;2009QII;-7.7
Nacional;;General;Annual variation;2009QI;-7.6
Nacional;;General;Annual variation;2008QIV;-5.4
Nacional;;General;Annual variation;2008QIII;-3
Nacional;;General;Annual variation;2008QII;-0.3
Nacional;;General;Annual variation;2008QI;2.8
Nacional;;General;Annual variation;2007QIV;5.7
Nacional;;General;Annual variation;2007QIII;9.2
Nacional;;General;Annual variation;2007QII;11.6
Nacional;;General;Annual variation;2007QI;13.1
Nacional;;General;Year-to-date variation rate;2023QII;2.7
Nacional;;General;Year-to-date variation rate;2023QI;0.6
Nacional;;General;Year-to-date variation rate;2022QIV;5.5
Nacional;;General;Year-to-date variation rate;2022QIII;6.3
Nacional;;General;Year-to-date variation rate;2022QII;4.5
Nacional;;General;Year-to-date variation rate;2022QI;2.6
Nacional;;General;Year-to-date variation rate;2021QIV;6.4
Nacional;;General;Year-to-date variation rate;2021QIII;5.1
Nacional;;General;Year-to-date variation rate;2021QII;3
Nacional;;General;Year-to-date variation rate;2021QI;0.5
Nacional;;General;Year-to-date variation rate;2020QIV;1.5
Nacional;;General;Year-to-date variation rate;2020QIII;2.3
Nacional;;General;Year-to-date variation rate;2020QII;1.2
Nacional;;General;Year-to-date variation rate;2020QI;1.1
Nacional;;General;Year-to-date variation rate;2019QIV;3.6
Nacional;;General;Year-to-date variation rate;2019QIII;4.3
Nacional;;General;Year-to-date variation rate;2019QII;2.7
Nacional;;General;Year-to-date variation rate;2019QI;1.5
Nacional;;General;Year-to-date variation rate;2018QIV;6.6
Nacional;;General;Year-to-date variation rate;2018QIII;6.2
Nacional;;General;Year-to-date variation rate;2018QII;4
Nacional;;General;Year-to-date variation rate;2018QI;1.4
Nacional;;General;Year-to-date variation rate;2017QIV;7.2
Nacional;;General;Year-to-date variation rate;2017QIII;6.2
Nacional;;General;Year-to-date variation rate;2017QII;4.3
Nacional;;General;Year-to-date variation rate;2017QI;2.3
Nacional;;General;Year-to-date variation rate;2016QIV;4.5
Nacional;;General;Year-to-date variation rate;2016QIII;4.1
Nacional;;General;Year-to-date variation rate;2016QII;3.3
Nacional;;General;Year-to-date variation rate;2016QI;1.5
Nacional;;General;Year-to-date variation rate;2015QIV;4.2
Nacional;;General;Year-to-date variation rate;2015QIII;4.3
Nacional;;General;Year-to-date variation rate;2015QII;3.6
Nacional;;General;Year-to-date variation rate;2015QI;-0.6
Nacional;;General;Year-to-date variation rate;2014QIV;1.8
Nacional;;General;Year-to-date variation rate;2014QIII;1.6
Nacional;;General;Year-to-date variation rate;2014QII;1.4
Nacional;;General;Year-to-date variation rate;2014QI;-0.3
Nacional;;General;Year-to-date variation rate;2013QIV;-7.8
Nacional;;General;Year-to-date variation rate;2013QIII;-6.6
Nacional;;General;Year-to-date variation rate;2013QII;-7.3
Nacional;;General;Year-to-date variation rate;2013QI;-6.6
Nacional;;General;Year-to-date variation rate;2012QIV;-12.8
Nacional;;General;Year-to-date variation rate;2012QIII;-11.5
Nacional;;General;Year-to-date variation rate;2012QII;-8.1
Nacional;;General;Year-to-date variation rate;2012QI;-5
Nacional;;General;Year-to-date variation rate;2011QIV;-11.2
Nacional;;General;Year-to-date variation rate;2011QIII;-7.3
Nacional;;General;Year-to-date variation rate;2011QII;-4.6
Nacional;;General;Year-to-date variation rate;2011QI;-3.5
Nacional;;General;Year-to-date variation rate;2010QIV;-1.9
Nacional;;General;Year-to-date variation rate;2010QIII;-1.8
Nacional;;General;Year-to-date variation rate;2010QII;0.4
Nacional;;General;Year-to-date variation rate;2010QI;-1.2
Nacional;;General;Year-to-date variation rate;2009QIV;-4.3
Nacional;;General;Year-to-date variation rate;2009QIII;-4
Nacional;;General;Year-to-date variation rate;2009QII;-3.1
Nacional;;General;Year-to-date variation rate;2009QI;-2.7
Nacional;;General;Year-to-date variation rate;2008QIV;-5.4
Nacional;;General;Year-to-date variation rate;2008QIII;-2.3
Nacional;;General;Year-to-date variation rate;2008QII;-0.7
Nacional;;General;Year-to-date variation rate;2008QI;-0.4
Nacional;;General;Year-to-date variation rate;2007QIV;5.7
Nacional;;General;Year-to-date variation rate;2007QIII;6.5
Nacional;;General;Year-to-date variation rate;2007QII;5.3
Nacional;;General;Year-to-date variation rate;2007QI;2.4
Nacional;;New dwelling;Index;2023QII;165.263
Nacional;;New dwelling;Index;2023QI;162.514
Nacional;;New dwelling;Index;2022QIV;157.801
Nacional;;New dwelling;Index;2022QIII;154.931
Nacional;;New dwelling;Index;2022QII;153.51
Nacional;;New dwelling;Index;2022QI;153.365
Nacional;;New dwelling;Index;2021QIV;148.64
Nacional;;New dwelling;Index;2021QIII;145.073
Nacional;;New dwelling;Index;2021QII;141.088
Nacional;;New dwelling;Index;2021QI;139.321
Nacional;;New dwelling;Index;2020QIV;140.144
Nacional;;New dwelling;Index;2020QIII;139.4
Nacional;;New dwelling;Index;2020QII;133.093
Nacional;;New dwelling;Index;2020QI;136.156
Nacional;;New dwelling;Index;2019QIV;129.523
Nacional;;New dwelling;Index;2019QIII;129.72
Nacional;;New dwelling;Index;2019QII;127.787
Nacional;;New dwelling;Index;2019QI;128.285
Nacional;;New dwelling;Index;2018QIV;123.044
Nacional;;New dwelling;Index;2018QIII;121.645
Nacional;;New dwelling;Index;2018QII;119.235
Nacional;;New dwelling;Index;2018QI;116.249
Nacional;;New dwelling;Index;2017QIV;113.902
Nacional;;New dwelling;Index;2017QIII;114.619
Nacional;;New dwelling;Index;2017QII;112.835
Nacional;;New dwelling;Index;2017QI;110.016
Nacional;;New dwelling;Index;2016QIV;106.098
Nacional;;New dwelling;Index;2016QIII;107.605
Nacional;;New dwelling;Index;2016QII;108.105
Nacional;;New dwelling;Index;2016QI;104.284
Nacional;;New dwelling;Index;2015QIV;101.678
Nacional;;New dwelling;Index;2015QIII;100.328
Nacional;;New dwelling;Index;2015QII;99.726
Nacional;;New dwelling;Index;2015QI;98.268
Nacional;;New dwelling;Index;2014QIV;96.12
Nacional;;New dwelling;Index;2014QIII;96.21
Nacional;;New dwelling;Index;2014QII;95.083
Nacional;;New dwelling;Index;2014QI;94.496
Nacional;;New dwelling;Index;2013QIV;94.356
Nacional;;New dwelling;Index;2013QIII;95.459
Nacional;;New dwelling;Index;2013QII;93.275
Nacional;;New dwelling;Index;2013QI;95.538
Nacional;;New dwelling;Index;2012QIV;102.554
Nacional;;New dwelling;Index;2012QIII;103.702
Nacional;;New dwelling;Index;2012QII;106.796
Nacional;;New dwelling;Index;2012QI;109.595
Nacional;;New dwelling;Index;2011QIV;115.139
Nacional;;New dwelling;Index;2011QIII;120.016
Nacional;;New dwelling;Index;2011QII;122.445
Nacional;;New dwelling;Index;2011QI;124.259
Nacional;;New dwelling;Index;2010QIV;125.903
Nacional;;New dwelling;Index;2010QIII;126.395
Nacional;;New dwelling;Index;2010QII;129.118
Nacional;;New dwelling;Index;2010QI;126.703
Nacional;;New dwelling;Index;2009QIV;128.647
Nacional;;New dwelling;Index;2009QIII;129.71
Nacional;;New dwelling;Index;2009QII;131.365
Nacional;;New dwelling;Index;2009QI;132.281
Nacional;;New dwelling;Index;2008QIV;135.526
Nacional;;New dwelling;Index;2008QIII;137.382
Nacional;;New dwelling;Index;2008QII;136.652
Nacional;;New dwelling;Index;2008QI;134.966
Nacional;;New dwelling;Index;2007QIV;134.449
Nacional;;New dwelling;Index;2007QIII;132.475
Nacional;;New dwelling;Index;2007QII;129.748
Nacional;;New dwelling;Index;2007QI;125.956
Nacional;;New dwelling;Quarterly variation rate;2023QII;1.7
Nacional;;New dwelling;Quarterly variation rate;2023QI;3
Nacional;;New dwelling;Quarterly variation rate;2022QIV;1.9
Nacional;;New dwelling;Quarterly variation rate;2022QIII;0.9
Nacional;;New dwelling;Quarterly variation rate;2022QII;0.1
Nacional;;New dwelling;Quarterly variation rate;2022QI;3.2
Nacional;;New dwelling;Quarterly variation rate;2021QIV;2.5
Nacional;;New dwelling;Quarterly variation rate;2021QIII;2.8
Nacional;;New dwelling;Quarterly variation rate;2021QII;1.3
Nacional;;New dwelling;Quarterly variation rate;2021QI;-0.6
Nacional;;New dwelling;Quarterly variation rate;2020QIV;0.5
Nacional;;New dwelling;Quarterly variation rate;2020QIII;4.7
Nacional;;New dwelling;Quarterly variation rate;2020QII;-2.2
Nacional;;New dwelling;Quarterly variation rate;2020QI;5.1
Nacional;;New dwelling;Quarterly variation rate;2019QIV;-0.2
Nacional;;New dwelling;Quarterly variation rate;2019QIII;1.5
Nacional;;New dwelling;Quarterly variation rate;2019QII;-0.4
Nacional;;New dwelling;Quarterly variation rate;2019QI;4.3
Nacional;;New dwelling;Quarterly variation rate;2018QIV;1.2
Nacional;;New dwelling;Quarterly variation rate;2018QIII;2
Nacional;;New dwelling;Quarterly variation rate;2018QII;2.6
Nacional;;New dwelling;Quarterly variation rate;2018QI;2.1
Nacional;;New dwelling;Quarterly variation rate;2017QIV;-0.6
Nacional;;New dwelling;Quarterly variation rate;2017QIII;1.6
Nacional;;New dwelling;Quarterly variation rate;2017QII;2.6
Nacional;;New dwelling;Quarterly variation rate;2017QI;3.7
Nacional;;New dwelling;Quarterly variation rate;2016QIV;-1.4
Nacional;;New dwelling;Quarterly variation rate;2016QIII;-0.5
Nacional;;New dwelling;Quarterly variation rate;2016QII;3.7
Nacional;;New dwelling;Quarterly variation rate;2016QI;2.6
Nacional;;New dwelling;Quarterly variation rate;2015QIV;1.3
Nacional;;New dwelling;Quarterly variation rate;2015QIII;0.6
Nacional;;New dwelling;Quarterly variation rate;2015QII;1.5
Nacional;;New dwelling;Quarterly variation rate;2015QI;2.2
Nacional;;New dwelling;Quarterly variation rate;2014QIV;-0.1
Nacional;;New dwelling;Quarterly variation rate;2014QIII;1.2
Nacional;;New dwelling;Quarterly variation rate;2014QII;0.6
Nacional;;New dwelling;Quarterly variation rate;2014QI;0.1
Nacional;;New dwelling;Quarterly variation rate;2013QIV;-1.2
Nacional;;New dwelling;Quarterly variation rate;2013QIII;2.3
Nacional;;New dwelling;Quarterly variation rate;2013QII;-2.4
Nacional;;New dwelling;Quarterly variation rate;2013QI;-6.8
Nacional;;New dwelling;Quarterly variation rate;2012QIV;-1.1
Nacional;;New dwelling;Quarterly variation rate;2012QIII;-2.9
Nacional;;New dwelling;Quarterly variation rate;2012QII;-2.6
Nacional;;New dwelling;Quarterly variation rate;2012QI;-4.8
Nacional;;New dwelling;Quarterly variation rate;2011QIV;-4.1
Nacional;;New dwelling;Quarterly variation rate;2011QIII;-2
Nacional;;New dwelling;Quarterly variation rate;2011QII;-1.5
Nacional;;New dwelling;Quarterly variation rate;2011QI;-1.3
Nacional;;New dwelling;Quarterly variation rate;2010QIV;-0.4
Nacional;;New dwelling;Quarterly variation rate;2010QIII;-2.1
Nacional;;New dwelling;Quarterly variation rate;2010QII;1.9
Nacional;;New dwelling;Quarterly variation rate;2010QI;-1.5
Nacional;;New dwelling;Quarterly variation rate;2009QIV;-0.8
Nacional;;New dwelling;Quarterly variation rate;2009QIII;-1.3
Nacional;;New dwelling;Quarterly variation rate;2009QII;-0.7
Nacional;;New dwelling;Quarterly variation rate;2009QI;-2.4
Nacional;;New dwelling;Quarterly variation rate;2008QIV;-1.4
Nacional;;New dwelling;Quarterly variation rate;2008QIII;0.5
Nacional;;New dwelling;Quarterly variation rate;2008QII;1.2
Nacional;;New dwelling;Quarterly variation rate;2008QI;0.4
Nacional;;New dwelling;Quarterly variation rate;2007QIV;1.5
Nacional;;New dwelling;Quarterly variation rate;2007QIII;2.1
Nacional;;New dwelling;Quarterly variation rate;2007QII;3
Nacional;;New dwelling;Quarterly variation rate;2007QI;2.9
Nacional;;New dwelling;Annual variation;2023QII;7.7
Nacional;;New dwelling;Annual variation;2023QI;6
Nacional;;New dwelling;Annual variation;2022QIV;6.2
Nacional;;New dwelling;Annual variation;2022QIII;6.8
Nacional;;New dwelling;Annual variation;2022QII;8.8
Nacional;;New dwelling;Annual variation;2022QI;10.1
Nacional;;New dwelling;Annual variation;2021QIV;6.1
Nacional;;New dwelling;Annual variation;2021QIII;4.1
Nacional;;New dwelling;Annual variation;2021QII;6
Nacional;;New dwelling;Annual variation;2021QI;2.3
Nacional;;New dwelling;Annual variation;2020QIV;8.2
Nacional;;New dwelling;Annual variation;2020QIII;7.5
Nacional;;New dwelling;Annual variation;2020QII;4.2
Nacional;;New dwelling;Annual variation;2020QI;6.1
Nacional;;New dwelling;Annual variation;2019QIV;5.3
Nacional;;New dwelling;Annual variation;2019QIII;6.6
Nacional;;New dwelling;Annual variation;2019QII;7.2
Nacional;;New dwelling;Annual variation;2019QI;10.4
Nacional;;New dwelling;Annual variation;2018QIV;8
Nacional;;New dwelling;Annual variation;2018QIII;6.1
Nacional;;New dwelling;Annual variation;2018QII;5.7
Nacional;;New dwelling;Annual variation;2018QI;5.7
Nacional;;New dwelling;Annual variation;2017QIV;7.4
Nacional;;New dwelling;Annual variation;2017QIII;6.5
Nacional;;New dwelling;Annual variation;2017QII;4.4
Nacional;;New dwelling;Annual variation;2017QI;5.5
Nacional;;New dwelling;Annual variation;2016QIV;4.3
Nacional;;New dwelling;Annual variation;2016QIII;7.3
Nacional;;New dwelling;Annual variation;2016QII;8.4
Nacional;;New dwelling;Annual variation;2016QI;6.1
Nacional;;New dwelling;Annual variation;2015QIV;5.8
Nacional;;New dwelling;Annual variation;2015QIII;4.3
Nacional;;New dwelling;Annual variation;2015QII;4.9
Nacional;;New dwelling;Annual variation;2015QI;4
Nacional;;New dwelling;Annual variation;2014QIV;1.9
Nacional;;New dwelling;Annual variation;2014QIII;0.8
Nacional;;New dwelling;Annual variation;2014QII;1.9
Nacional;;New dwelling;Annual variation;2014QI;-1.1
Nacional;;New dwelling;Annual variation;2013QIV;-8
Nacional;;New dwelling;Annual variation;2013QIII;-7.9
Nacional;;New dwelling;Annual variation;2013QII;-12.7
Nacional;;New dwelling;Annual variation;2013QI;-12.8
Nacional;;New dwelling;Annual variation;2012QIV;-10.9
Nacional;;New dwelling;Annual variation;2012QIII;-13.6
Nacional;;New dwelling;Annual variation;2012QII;-12.8
Nacional;;New dwelling;Annual variation;2012QI;-11.8
Nacional;;New dwelling;Annual variation;2011QIV;-8.5
Nacional;;New dwelling;Annual variation;2011QIII;-5
Nacional;;New dwelling;Annual variation;2011QII;-5.2
Nacional;;New dwelling;Annual variation;2011QI;-1.9
Nacional;;New dwelling;Annual variation;2010QIV;-2.1
Nacional;;New dwelling;Annual variation;2010QIII;-2.6
Nacional;;New dwelling;Annual variation;2010QII;-1.7
Nacional;;New dwelling;Annual variation;2010QI;-4.2
Nacional;;New dwelling;Annual variation;2009QIV;-5.1
Nacional;;New dwelling;Annual variation;2009QIII;-5.6
Nacional;;New dwelling;Annual variation;2009QII;-3.9
Nacional;;New dwelling;Annual variation;2009QI;-2
Nacional;;New dwelling;Annual variation;2008QIV;0.8
Nacional;;New dwelling;Annual variation;2008QIII;3.7
Nacional;;New dwelling;Annual variation;2008QII;5.3
Nacional;;New dwelling;Annual variation;2008QI;7.2
Nacional;;New dwelling;Annual variation;2007QIV;9.8
Nacional;;New dwelling;Annual variation;2007QIII;11.4
Nacional;;New dwelling;Annual variation;2007QII;13.3
Nacional;;New dwelling;Annual variation;2007QI;13.3
Nacional;;New dwelling;Year-to-date variation rate;2023QII;4.7
Nacional;;New dwelling;Year-to-date variation rate;2023QI;3
Nacional;;New dwelling;Year-to-date variation rate;2022QIV;6.2
Nacional;;New dwelling;Year-to-date variation rate;2022QIII;4.2
Nacional;;New dwelling;Year-to-date variation rate;2022QII;3.3
Nacional;;New dwelling;Year-to-date variation rate;2022QI;3.2
Nacional;;New dwelling;Year-to-date variation rate;2021QIV;6.1
Nacional;;New dwelling;Year-to-date variation rate;2021QIII;3.5
Nacional;;New dwelling;Year-to-date variation rate;2021QII;0.7
Nacional;;New dwelling;Year-to-date variation rate;2021QI;-0.6
Nacional;;New dwelling;Year-to-date variation rate;2020QIV;8.2
Nacional;;New dwelling;Year-to-date variation rate;2020QIII;7.6
Nacional;;New dwelling;Year-to-date variation rate;2020QII;2.8
Nacional;;New dwelling;Year-to-date variation rate;2020QI;5.1
Nacional;;New dwelling;Year-to-date variation rate;2019QIV;5.3
Nacional;;New dwelling;Year-to-date variation rate;2019QIII;5.4
Nacional;;New dwelling;Year-to-date variation rate;2019QII;3.9
Nacional;;New dwelling;Year-to-date variation rate;2019QI;4.3
Nacional;;New dwelling;Year-to-date variation rate;2018QIV;8
Nacional;;New dwelling;Year-to-date variation rate;2018QIII;6.8
Nacional;;New dwelling;Year-to-date variation rate;2018QII;4.7
Nacional;;New dwelling;Year-to-date variation rate;2018QI;2.1
Nacional;;New dwelling;Year-to-date variation rate;2017QIV;7.4
Nacional;;New dwelling;Year-to-date variation rate;2017QIII;8
Nacional;;New dwelling;Year-to-date variation rate;2017QII;6.3
Nacional;;New dwelling;Year-to-date variation rate;2017QI;3.7
Nacional;;New dwelling;Year-to-date variation rate;2016QIV;4.3
Nacional;;New dwelling;Year-to-date variation rate;2016QIII;5.8
Nacional;;New dwelling;Year-to-date variation rate;2016QII;6.3
Nacional;;New dwelling;Year-to-date variation rate;2016QI;2.6
Nacional;;New dwelling;Year-to-date variation rate;2015QIV;5.8
Nacional;;New dwelling;Year-to-date variation rate;2015QIII;4.4
Nacional;;New dwelling;Year-to-date variation rate;2015QII;3.8
Nacional;;New dwelling;Year-to-date variation rate;2015QI;2.2
Nacional;;New dwelling;Year-to-date variation rate;2014QIV;1.9
Nacional;;New dwelling;Year-to-date variation rate;2014QIII;2
Nacional;;New dwelling;Year-to-date variation rate;2014QII;0.8
Nacional;;New dwelling;Year-to-date variation rate;2014QI;0.1
Nacional;;New dwelling;Year-to-date variation rate;2013QIV;-8
Nacional;;New dwelling;Year-to-date variation rate;2013QIII;-6.9
Nacional;;New dwelling;Year-to-date variation rate;2013QII;-9
Nacional;;New dwelling;Year-to-date variation rate;2013QI;-6.8
Nacional;;New dwelling;Year-to-date variation rate;2012QIV;-10.9
Nacional;;New dwelling;Year-to-date variation rate;2012QIII;-9.9
Nacional;;New dwelling;Year-to-date variation rate;2012QII;-7.2
Nacional;;New dwelling;Year-to-date variation rate;2012QI;-4.8
Nacional;;New dwelling;Year-to-date variation rate;2011QIV;-8.5
Nacional;;New dwelling;Year-to-date variation rate;2011QIII;-4.7
Nacional;;New dwelling;Year-to-date variation rate;2011QII;-2.7
Nacional;;New dwelling;Year-to-date variation rate;2011QI;-1.3
Nacional;;New dwelling;Year-to-date variation rate;2010QIV;-2.1
Nacional;;New dwelling;Year-to-date variation rate;2010QIII;-1.8
Nacional;;New dwelling;Year-to-date variation rate;2010QII;0.4
Nacional;;New dwelling;Year-to-date variation rate;2010QI;-1.5
