national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2013,95.512,4
Nacional,,General,Index,2013,96.742,3
Nacional,,General,Index,2013,96.041,2
Nacional,,General,Index,2013,96.768,1
Nacional,,General,Quarterly variation rate,2013,-1.3,4
Nacional,,General,Quarterly variation rate,2013,0.7,3
Nacional,,General,Quarterly variation rate,2013,-0.8,2
Nacional,,General,Quarterly variation rate,2013,-6.6,1
Nacional,,General,Annual variation,2013,-7.8,4
Nacional,,General,Annual variation,2013,-7.9,3
Nacional,,General,Annual variation,2013,-12.0,2
Nacional,,General,Annual variation,2013,-14.3,1
Nacional,,General,Year-to-date variation rate,2013,-7.8,4
Nacional,,General,Year-to-date variation rate,2013,-6.6,3
Nacional,,General,Year-to-date variation rate,2013,-7.3,2
Nacional,,General,Year-to-date variation rate,2013,-6.6,1
Nacional,,New dwelling,Index,2013,94.356,4
Nacional,,New dwelling,Index,2013,95.459,3
Nacional,,New dwelling,Index,2013,93.275,2
Nacional,,New dwelling,Index,2013,95.538,1
Nacional,,New dwelling,Quarterly variation rate,2013,-1.2,4
Nacional,,New dwelling,Quarterly variation rate,2013,2.3,3
Nacional,,New dwelling,Quarterly variation rate,2013,-2.4,2
Nacional,,New dwelling,Quarterly variation rate,2013,-6.8,1
Nacional,,New dwelling,Annual variation,2013,-8.0,4
Nacional,,New dwelling,Annual variation,2013,-7.9,3
Nacional,,New dwelling,Annual variation,2013,-12.7,2
Nacional,,New dwelling,Annual variation,2013,-12.8,1
Nacional,,New dwelling,Year-to-date variation rate,2013,-8.0,4
Nacional,,New dwelling,Year-to-date variation rate,2013,-6.9,3
Nacional,,New dwelling,Year-to-date variation rate,2013,-9.0,2
Nacional,,New dwelling,Year-to-date variation rate,2013,-6.8,1
Nacional,,Second-hand dwelling,Index,2013,95.713,4
Nacional,,Second-hand dwelling,Index,2013,96.992,3
Nacional,,Second-hand dwelling,Index,2013,96.893,2
Nacional,,Second-hand dwelling,Index,2013,96.996,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2013,-1.3,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2013,0.1,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2013,-0.1,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2013,-6.5,1
Nacional,,Second-hand dwelling,Annual variation,2013,-7.7,4
Nacional,,Second-hand dwelling,Annual variation,2013,-8.0,3
Nacional,,Second-hand dwelling,Annual variation,2013,-12.1,2
Nacional,,Second-hand dwelling,Annual variation,2013,-15.3,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2013,-7.7,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2013,-6.5,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2013,-6.6,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2013,-6.5,1
Nacional,01 Andalucía,General,Index,2013,96.389,4
Nacional,01 Andalucía,General,Index,2013,97.433,3
Nacional,01 Andalucía,General,Index,2013,96.563,2
Nacional,01 Andalucía,General,Index,2013,97.307,1
Nacional,01 Andalucía,General,Quarterly variation rate,2013,-1.1,4
Nacional,01 Andalucía,General,Quarterly variation rate,2013,0.9,3
Nacional,01 Andalucía,General,Quarterly variation rate,2013,-0.8,2
Nacional,01 Andalucía,General,Quarterly variation rate,2013,-5.4,1
Nacional,01 Andalucía,General,Annual variation,2013,-6.3,4
Nacional,01 Andalucía,General,Annual variation,2013,-6.9,3
Nacional,01 Andalucía,General,Annual variation,2013,-9.5,2
Nacional,01 Andalucía,General,Annual variation,2013,-12.2,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2013,-6.3,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2013,-5.3,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2013,-6.1,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2013,-5.4,1
Nacional,01 Andalucía,New dwelling,Index,2013,93.33,4
