national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2010,133.718,4
Nacional,,General,Index,2010,133.846,3
Nacional,,General,Index,2010,136.79,2
Nacional,,General,Index,2010,134.626,1
Nacional,,General,Quarterly variation rate,2010,-0.1,4
Nacional,,General,Quarterly variation rate,2010,-2.2,3
Nacional,,General,Quarterly variation rate,2010,1.6,2
Nacional,,General,Quarterly variation rate,2010,-1.2,1
Nacional,,General,Annual variation,2010,-1.9,4
Nacional,,General,Annual variation,2010,-2.2,3
Nacional,,General,Annual variation,2010,-0.9,2
Nacional,,General,Annual variation,2010,-2.9,1
Nacional,,General,Year-to-date variation rate,2010,-1.9,4
Nacional,,General,Year-to-date variation rate,2010,-1.8,3
Nacional,,General,Year-to-date variation rate,2010,0.4,2
Nacional,,General,Year-to-date variation rate,2010,-1.2,1
Nacional,,New dwelling,Index,2010,125.903,4
Nacional,,New dwelling,Index,2010,126.395,3
Nacional,,New dwelling,Index,2010,129.118,2
Nacional,,New dwelling,Index,2010,126.703,1
Nacional,,New dwelling,Quarterly variation rate,2010,-0.4,4
Nacional,,New dwelling,Quarterly variation rate,2010,-2.1,3
Nacional,,New dwelling,Quarterly variation rate,2010,1.9,2
Nacional,,New dwelling,Quarterly variation rate,2010,-1.5,1
Nacional,,New dwelling,Annual variation,2010,-2.1,4
Nacional,,New dwelling,Annual variation,2010,-2.6,3
Nacional,,New dwelling,Annual variation,2010,-1.7,2
Nacional,,New dwelling,Annual variation,2010,-4.2,1
Nacional,,New dwelling,Year-to-date variation rate,2010,-2.1,4
Nacional,,New dwelling,Year-to-date variation rate,2010,-1.8,3
Nacional,,New dwelling,Year-to-date variation rate,2010,0.4,2
Nacional,,New dwelling,Year-to-date variation rate,2010,-1.5,1
Nacional,,Second-hand dwelling,Index,2010,139.816,4
Nacional,,Second-hand dwelling,Index,2010,139.455,3
Nacional,,Second-hand dwelling,Index,2010,142.599,2
Nacional,,Second-hand dwelling,Index,2010,140.838,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2010,0.3,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2010,-2.2,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2010,1.2,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2010,-0.9,1
Nacional,,Second-hand dwelling,Annual variation,2010,-1.6,4
Nacional,,Second-hand dwelling,Annual variation,2010,-1.8,3
Nacional,,Second-hand dwelling,Annual variation,2010,0.0,2
Nacional,,Second-hand dwelling,Annual variation,2010,-1.4,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2010,-1.6,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2010,-1.9,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2010,0.3,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2010,-0.9,1
Nacional,01 Andalucía,General,Index,2010,126.862,4
Nacional,01 Andalucía,General,Index,2010,127.118,3
Nacional,01 Andalucía,General,Index,2010,130.094,2
Nacional,01 Andalucía,General,Index,2010,128.36,1
Nacional,01 Andalucía,General,Quarterly variation rate,2010,-0.2,4
Nacional,01 Andalucía,General,Quarterly variation rate,2010,-2.3,3
Nacional,01 Andalucía,General,Quarterly variation rate,2010,1.4,2
Nacional,01 Andalucía,General,Quarterly variation rate,2010,-0.9,1
Nacional,01 Andalucía,General,Annual variation,2010,-2.1,4
Nacional,01 Andalucía,General,Annual variation,2010,-2.2,3
Nacional,01 Andalucía,General,Annual variation,2010,-0.4,2
Nacional,01 Andalucía,General,Annual variation,2010,-1.6,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2010,-2.1,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2010,-1.9,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2010,0.4,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2010,-0.9,1
Nacional,01 Andalucía,New dwelling,Index,2010,116.809,4
Nacional,01 Andalucía,New dwelling,Index,2010,117.549,3
Nacional,01 Andalucía,New dwelling,Index,2010,120.843,2
