national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2019,125.32,4
Nacional,,General,Index,2019,126.135,3
Nacional,,General,Index,2019,124.175,2
Nacional,,General,Index,2019,122.758,1
Nacional,,General,Quarterly variation rate,2019,-0.6,4
Nacional,,General,Quarterly variation rate,2019,1.6,3
Nacional,,General,Quarterly variation rate,2019,1.2,2
Nacional,,General,Quarterly variation rate,2019,1.5,1
Nacional,,General,Annual variation,2019,3.6,4
Nacional,,General,Annual variation,2019,4.7,3
Nacional,,General,Annual variation,2019,5.3,2
Nacional,,General,Annual variation,2019,6.8,1
Nacional,,General,Year-to-date variation rate,2019,3.6,4
Nacional,,General,Year-to-date variation rate,2019,4.3,3
Nacional,,General,Year-to-date variation rate,2019,2.7,2
Nacional,,General,Year-to-date variation rate,2019,1.5,1
Nacional,,New dwelling,Index,2019,129.523,4
Nacional,,New dwelling,Index,2019,129.72,3
Nacional,,New dwelling,Index,2019,127.787,2
Nacional,,New dwelling,Index,2019,128.285,1
Nacional,,New dwelling,Quarterly variation rate,2019,-0.2,4
Nacional,,New dwelling,Quarterly variation rate,2019,1.5,3
Nacional,,New dwelling,Quarterly variation rate,2019,-0.4,2
Nacional,,New dwelling,Quarterly variation rate,2019,4.3,1
Nacional,,New dwelling,Annual variation,2019,5.3,4
Nacional,,New dwelling,Annual variation,2019,6.6,3
Nacional,,New dwelling,Annual variation,2019,7.2,2
Nacional,,New dwelling,Annual variation,2019,10.4,1
Nacional,,New dwelling,Year-to-date variation rate,2019,5.3,4
Nacional,,New dwelling,Year-to-date variation rate,2019,5.4,3
Nacional,,New dwelling,Year-to-date variation rate,2019,3.9,2
Nacional,,New dwelling,Year-to-date variation rate,2019,4.3,1
Nacional,,Second-hand dwelling,Index,2019,124.72,4
Nacional,,Second-hand dwelling,Index,2019,125.623,3
Nacional,,Second-hand dwelling,Index,2019,123.659,2
Nacional,,Second-hand dwelling,Index,2019,121.97,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2019,-0.7,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2019,1.6,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2019,1.4,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2019,1.1,1
Nacional,,Second-hand dwelling,Annual variation,2019,3.4,4
Nacional,,Second-hand dwelling,Annual variation,2019,4.4,3
Nacional,,Second-hand dwelling,Annual variation,2019,5.0,2
Nacional,,Second-hand dwelling,Annual variation,2019,6.2,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2019,3.4,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2019,4.1,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2019,2.5,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2019,1.1,1
Nacional,01 Andalucía,General,Index,2019,118.553,4
Nacional,01 Andalucía,General,Index,2019,119.331,3
Nacional,01 Andalucía,General,Index,2019,116.842,2
Nacional,01 Andalucía,General,Index,2019,114.705,1
Nacional,01 Andalucía,General,Quarterly variation rate,2019,-0.7,4
Nacional,01 Andalucía,General,Quarterly variation rate,2019,2.1,3
Nacional,01 Andalucía,General,Quarterly variation rate,2019,1.9,2
Nacional,01 Andalucía,General,Quarterly variation rate,2019,0.8,1
Nacional,01 Andalucía,General,Annual variation,2019,4.1,4
Nacional,01 Andalucía,General,Annual variation,2019,5.9,3
Nacional,01 Andalucía,General,Annual variation,2019,5.6,2
Nacional,01 Andalucía,General,Annual variation,2019,5.9,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2019,4.1,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2019,4.8,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2019,2.6,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2019,0.8,1
Nacional,01 Andalucía,New dwelling,Index,2019,128.593,4
Nacional,01 Andalucía,New dwelling,Index,2019,131.319,3
Nacional,01 Andalucía,New dwelling,Index,2019,125.02,2
Nacional,01 Andalucía,New dwelling,Index,2019,121.873,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2019,-2.1,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2019,5.0,3
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2019,2.6,2
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2019,1.0,1
Nacional,01 Andalucía,New dwelling,Annual variation,2019,6.5,4
Nacional,01 Andalucía,New dwelling,Annual variation,2019,9.4,3
Nacional,01 Andalucía,New dwelling,Annual variation,2019,7.6,2
Nacional,01 Andalucía,New dwelling,Annual variation,2019,7.0,1
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2019,6.5,4
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2019,8.8,3
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2019,3.6,2
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2019,1.0,1
Nacional,01 Andalucía,Second-hand dwelling,Index,2019,117.395,4
Nacional,01 Andalucía,Second-hand dwelling,Index,2019,117.968,3
Nacional,01 Andalucía,Second-hand dwelling,Index,2019,115.883,2
