national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2022,142.666,4
Nacional,,General,Index,2022,143.86,3
Nacional,,General,Index,2022,141.433,2
Nacional,,General,Index,2022,138.742,1
Nacional,,General,Quarterly variation rate,2022,-0.8,4
Nacional,,General,Quarterly variation rate,2022,1.7,3
Nacional,,General,Quarterly variation rate,2022,1.9,2
Nacional,,General,Quarterly variation rate,2022,2.6,1
Nacional,,General,Annual variation,2022,5.5,4
Nacional,,General,Annual variation,2022,7.6,3
Nacional,,General,Annual variation,2022,8.0,2
Nacional,,General,Annual variation,2022,8.5,1
Nacional,,General,Year-to-date variation rate,2022,5.5,4
Nacional,,General,Year-to-date variation rate,2022,6.3,3
Nacional,,General,Year-to-date variation rate,2022,4.5,2
Nacional,,General,Year-to-date variation rate,2022,2.6,1
Nacional,,New dwelling,Index,2022,157.801,4
Nacional,,New dwelling,Index,2022,154.931,3
Nacional,,New dwelling,Index,2022,153.51,2
Nacional,,New dwelling,Index,2022,153.365,1
Nacional,,New dwelling,Quarterly variation rate,2022,1.9,4
Nacional,,New dwelling,Quarterly variation rate,2022,0.9,3
Nacional,,New dwelling,Quarterly variation rate,2022,0.1,2
Nacional,,New dwelling,Quarterly variation rate,2022,3.2,1
Nacional,,New dwelling,Annual variation,2022,6.2,4
Nacional,,New dwelling,Annual variation,2022,6.8,3
Nacional,,New dwelling,Annual variation,2022,8.8,2
Nacional,,New dwelling,Annual variation,2022,10.1,1
Nacional,,New dwelling,Year-to-date variation rate,2022,6.2,4
Nacional,,New dwelling,Year-to-date variation rate,2022,4.2,3
Nacional,,New dwelling,Year-to-date variation rate,2022,3.3,2
Nacional,,New dwelling,Year-to-date variation rate,2022,3.2,1
Nacional,,Second-hand dwelling,Index,2022,140.353,4
Nacional,,Second-hand dwelling,Index,2022,142.339,3
Nacional,,Second-hand dwelling,Index,2022,139.707,2
Nacional,,Second-hand dwelling,Index,2022,136.511,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2022,-1.4,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2022,1.9,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2022,2.3,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2022,2.4,1
Nacional,,Second-hand dwelling,Annual variation,2022,5.3,4
Nacional,,Second-hand dwelling,Annual variation,2022,7.8,3
Nacional,,Second-hand dwelling,Annual variation,2022,7.9,2
Nacional,,Second-hand dwelling,Annual variation,2022,8.2,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2022,5.3,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2022,6.8,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2022,4.8,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2022,2.4,1
Nacional,01 Andalucía,General,Index,2022,138.587,4
Nacional,01 Andalucía,General,Index,2022,138.73,3
Nacional,01 Andalucía,General,Index,2022,136.525,2
Nacional,01 Andalucía,General,Index,2022,133.3,1
Nacional,01 Andalucía,General,Quarterly variation rate,2022,-0.1,4
Nacional,01 Andalucía,General,Quarterly variation rate,2022,1.6,3
Nacional,01 Andalucía,General,Quarterly variation rate,2022,2.4,2
Nacional,01 Andalucía,General,Quarterly variation rate,2022,2.4,1
Nacional,01 Andalucía,General,Annual variation,2022,6.5,4
Nacional,01 Andalucía,General,Annual variation,2022,8.3,3
Nacional,01 Andalucía,General,Annual variation,2022,10.2,2
Nacional,01 Andalucía,General,Annual variation,2022,10.9,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2022,6.5,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2022,6.6,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2022,4.9,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2022,2.4,1
Nacional,01 Andalucía,New dwelling,Index,2022,164.477,4
Nacional,01 Andalucía,New dwelling,Index,2022,158.385,3
Nacional,01 Andalucía,New dwelling,Index,2022,156.989,2
Nacional,01 Andalucía,New dwelling,Index,2022,156.363,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2022,3.8,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2022,0.9,3
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2022,0.4,2
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2022,3.3,1
Nacional,01 Andalucía,New dwelling,Annual variation,2022,8.7,4
Nacional,01 Andalucía,New dwelling,Annual variation,2022,6.5,3
Nacional,01 Andalucía,New dwelling,Annual variation,2022,11.2,2
Nacional,01 Andalucía,New dwelling,Annual variation,2022,12.5,1
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2022,8.7,4
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2022,4.7,3
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2022,3.7,2
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2022,3.3,1
Nacional,01 Andalucía,Second-hand dwelling,Index,2022,135.208,4
Nacional,01 Andalucía,Second-hand dwelling,Index,2022,136.586,3
Nacional,01 Andalucía,Second-hand dwelling,Index,2022,134.193,2
Nacional,01 Andalucía,Second-hand dwelling,Index,2022,130.414,1
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2022,-1.0,4
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2022,1.8,3
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2022,2.9,2
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2022,2.2,1
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2022,5.9,4
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2022,8.7,3
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2022,10.0,2
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2022,10.5,1
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2022,5.9,4
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2022,7.0,3
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2022,5.1,2
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2022,2.2,1
Nacional,02 Aragón,General,Index,2022,132.396,4
Nacional,02 Aragón,General,Index,2022,133.388,3
Nacional,02 Aragón,General,Index,2022,131.95,2
Nacional,02 Aragón,General,Index,2022,130.106,1
Nacional,02 Aragón,General,Quarterly variation rate,2022,-0.7,4
Nacional,02 Aragón,General,Quarterly variation rate,2022,1.1,3
Nacional,02 Aragón,General,Quarterly variation rate,2022,1.4,2
Nacional,02 Aragón,General,Quarterly variation rate,2022,2.5,1
Nacional,02 Aragón,General,Annual variation,2022,4.3,4
Nacional,02 Aragón,General,Annual variation,2022,6.2,3
Nacional,02 Aragón,General,Annual variation,2022,7.5,2
Nacional,02 Aragón,General,Annual variation,2022,7.7,1
Nacional,02 Aragón,General,Year-to-date variation rate,2022,4.3,4
Nacional,02 Aragón,General,Year-to-date variation rate,2022,5.1,3
Nacional,02 Aragón,General,Year-to-date variation rate,2022,3.9,2
Nacional,02 Aragón,General,Year-to-date variation rate,2022,2.5,1
Nacional,02 Aragón,New dwelling,Index,2022,138.293,4
Nacional,02 Aragón,New dwelling,Index,2022,137.409,3
Nacional,02 Aragón,New dwelling,Index,2022,134.404,2
Nacional,02 Aragón,New dwelling,Index,2022,135.751,1
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2022,0.6,4
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2022,2.2,3
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2022,-1.0,2
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2022,3.1,1
Nacional,02 Aragón,New dwelling,Annual variation,2022,5.0,4
