national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2008,142.511,4
Nacional,,General,Index,2008,147.134,3
Nacional,,General,Index,2008,149.618,2
Nacional,,General,Index,2008,150.082,1
Nacional,,General,Quarterly variation rate,2008,-3.1,4
Nacional,,General,Quarterly variation rate,2008,-1.7,3
Nacional,,General,Quarterly variation rate,2008,-0.3,2
Nacional,,General,Quarterly variation rate,2008,-0.4,1
Nacional,,General,Annual variation,2008,-5.4,4
Nacional,,General,Annual variation,2008,-3.0,3
Nacional,,General,Annual variation,2008,-0.3,2
Nacional,,General,Annual variation,2008,2.8,1
Nacional,,General,Year-to-date variation rate,2008,-5.4,4
Nacional,,General,Year-to-date variation rate,2008,-2.3,3
Nacional,,General,Year-to-date variation rate,2008,-0.7,2
Nacional,,General,Year-to-date variation rate,2008,-0.4,1
Nacional,,New dwelling,Index,2008,135.526,4
Nacional,,New dwelling,Index,2008,137.382,3
Nacional,,New dwelling,Index,2008,136.652,2
Nacional,,New dwelling,Index,2008,134.966,1
Nacional,,New dwelling,Quarterly variation rate,2008,-1.4,4
Nacional,,New dwelling,Quarterly variation rate,2008,0.5,3
Nacional,,New dwelling,Quarterly variation rate,2008,1.2,2
Nacional,,New dwelling,Quarterly variation rate,2008,0.4,1
Nacional,,New dwelling,Annual variation,2008,0.8,4
Nacional,,New dwelling,Annual variation,2008,3.7,3
Nacional,,New dwelling,Annual variation,2008,5.3,2
Nacional,,New dwelling,Annual variation,2008,7.2,1
Nacional,,New dwelling,Year-to-date variation rate,2008,0.8,4
Nacional,,New dwelling,Year-to-date variation rate,2008,2.2,3
Nacional,,New dwelling,Year-to-date variation rate,2008,1.6,2
Nacional,,New dwelling,Year-to-date variation rate,2008,0.4,1
Nacional,,Second-hand dwelling,Index,2008,147.259,4
Nacional,,Second-hand dwelling,Index,2008,154.722,3
Nacional,,Second-hand dwelling,Index,2008,160.557,2
Nacional,,Second-hand dwelling,Index,2008,163.288,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2008,-4.8,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2008,-3.6,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2008,-1.7,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2008,-1.0,1
Nacional,,Second-hand dwelling,Annual variation,2008,-10.7,4
Nacional,,Second-hand dwelling,Annual variation,2008,-8.6,3
Nacional,,Second-hand dwelling,Annual variation,2008,-4.9,2
Nacional,,Second-hand dwelling,Annual variation,2008,-0.7,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2008,-10.7,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2008,-6.2,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2008,-2.7,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2008,-1.0,1
Nacional,01 Andalucía,General,Index,2008,131.847,4
Nacional,01 Andalucía,General,Index,2008,135.361,3
Nacional,01 Andalucía,General,Index,2008,135.178,2
Nacional,01 Andalucía,General,Index,2008,135.751,1
Nacional,01 Andalucía,General,Quarterly variation rate,2008,-2.6,4
Nacional,01 Andalucía,General,Quarterly variation rate,2008,0.1,3
Nacional,01 Andalucía,General,Quarterly variation rate,2008,-0.4,2
Nacional,01 Andalucía,General,Quarterly variation rate,2008,0.0,1
Nacional,01 Andalucía,General,Annual variation,2008,-2.9,4
Nacional,01 Andalucía,General,Annual variation,2008,1.1,3
Nacional,01 Andalucía,General,Annual variation,2008,3.3,2
Nacional,01 Andalucía,General,Annual variation,2008,6.8,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2008,-2.9,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2008,-0.3,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2008,-0.4,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2008,0.0,1
Nacional,01 Andalucía,New dwelling,Index,2008,121.632,4
Nacional,01 Andalucía,New dwelling,Index,2008,123.127,3
Nacional,01 Andalucía,New dwelling,Index,2008,120.303,2
Nacional,01 Andalucía,New dwelling,Index,2008,119.352,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2008,-1.2,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2008,2.3,3
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2008,0.8,2
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2008,0.2,1
Nacional,01 Andalucía,New dwelling,Annual variation,2008,2.1,4
Nacional,01 Andalucía,New dwelling,Annual variation,2008,7.0,3
Nacional,01 Andalucía,New dwelling,Annual variation,2008,8.0,2
Nacional,01 Andalucía,New dwelling,Annual variation,2008,10.2,1
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2008,2.1,4
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2008,3.4,3
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2008,1.0,2
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2008,0.2,1
Nacional,01 Andalucía,Second-hand dwelling,Index,2008,138.605,4
Nacional,01 Andalucía,Second-hand dwelling,Index,2008,144.405,3
Nacional,01 Andalucía,Second-hand dwelling,Index,2008,147.412,2
Nacional,01 Andalucía,Second-hand dwelling,Index,2008,149.799,1
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2008,-4.0,4
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2008,-2.0,3
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2008,-1.6,2
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2008,-0.3,1
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2008,-7.7,4
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2008,-4.4,3
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2008,-1.0,2
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2008,3.8,1
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2008,-7.7,4
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2008,-3.9,3
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2008,-1.9,2
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2008,-0.3,1
Nacional,02 Aragón,General,Index,2008,164.638,4
Nacional,02 Aragón,General,Index,2008,169.486,3
Nacional,02 Aragón,General,Index,2008,176.271,2
Nacional,02 Aragón,General,Index,2008,175.804,1
Nacional,02 Aragón,General,Quarterly variation rate,2008,-2.9,4
Nacional,02 Aragón,General,Quarterly variation rate,2008,-3.8,3
Nacional,02 Aragón,General,Quarterly variation rate,2008,0.3,2
Nacional,02 Aragón,General,Quarterly variation rate,2008,-0.4,1
Nacional,02 Aragón,General,Annual variation,2008,-6.7,4
Nacional,02 Aragón,General,Annual variation,2008,-5.0,3
Nacional,02 Aragón,General,Annual variation,2008,-0.2,2
Nacional,02 Aragón,General,Annual variation,2008,0.1,1
Nacional,02 Aragón,General,Year-to-date variation rate,2008,-6.7,4
Nacional,02 Aragón,General,Year-to-date variation rate,2008,-4.0,3
Nacional,02 Aragón,General,Year-to-date variation rate,2008,-0.1,2
Nacional,02 Aragón,General,Year-to-date variation rate,2008,-0.4,1
Nacional,02 Aragón,New dwelling,Index,2008,160.288,4
Nacional,02 Aragón,New dwelling,Index,2008,159.306,3
Nacional,02 Aragón,New dwelling,Index,2008,162.869,2
Nacional,02 Aragón,New dwelling,Index,2008,159.141,1
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2008,0.6,4
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2008,-2.2,3
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2008,2.3,2
Nacional,02 Aragón,New dwelling,Quarterly variation rate,2008,0.0,1
Nacional,02 Aragón,New dwelling,Annual variation,2008,0.7,4
Nacional,02 Aragón,New dwelling,Annual variation,2008,1.6,3
Nacional,02 Aragón,New dwelling,Annual variation,2008,4.6,2
Nacional,02 Aragón,New dwelling,Annual variation,2008,4.1,1
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2008,0.7,4
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2008,0.1,3
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2008,2.3,2
Nacional,02 Aragón,New dwelling,Year-to-date variation rate,2008,0.0,1
Nacional,02 Aragón,Second-hand dwelling,Index,2008,166.77,4
Nacional,02 Aragón,Second-hand dwelling,Index,2008,178.525,3
Nacional,02 Aragón,Second-hand dwelling,Index,2008,189.049,2
Nacional,02 Aragón,Second-hand dwelling,Index,2008,192.507,1
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2008,-6.6,4
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2008,-5.6,3
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2008,-1.8,2
Nacional,02 Aragón,Second-hand dwelling,Quarterly variation rate,2008,-0.7,1
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2008,-14.0,4
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2008,-11.2,3
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2008,-4.6,2
Nacional,02 Aragón,Second-hand dwelling,Annual variation,2008,-3.5,1
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2008,-14.0,4
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2008,-7.9,3
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2008,-2.5,2
Nacional,02 Aragón,Second-hand dwelling,Year-to-date variation rate,2008,-0.7,1
Nacional,03 Asturias. Principado de,General,Index,2008,144.401,4
Nacional,03 Asturias. Principado de,General,Index,2008,145.396,3
Nacional,03 Asturias. Principado de,General,Index,2008,145.714,2
Nacional,03 Asturias. Principado de,General,Index,2008,147.078,1
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2008,-0.7,4
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2008,-0.2,3
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2008,-0.9,2
Nacional,03 Asturias. Principado de,General,Quarterly variation rate,2008,0.2,1
Nacional,03 Asturias. Principado de,General,Annual variation,2008,-1.6,4
Nacional,03 Asturias. Principado de,General,Annual variation,2008,-0.9,3
Nacional,03 Asturias. Principado de,General,Annual variation,2008,1.5,2
Nacional,03 Asturias. Principado de,General,Annual variation,2008,6.0,1
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2008,-1.6,4
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2008,-0.9,3
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2008,-0.7,2
Nacional,03 Asturias. Principado de,General,Year-to-date variation rate,2008,0.2,1
Nacional,03 Asturias. Principado de,New dwelling,Index,2008,137.915,4
