national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2015,101.305,4
Nacional,,General,Index,2015,101.358,3
Nacional,,General,Index,2015,100.687,2
Nacional,,General,Index,2015,96.651,1
Nacional,,General,Quarterly variation rate,2015,-0.1,4
Nacional,,General,Quarterly variation rate,2015,0.7,3
Nacional,,General,Quarterly variation rate,2015,4.2,2
Nacional,,General,Quarterly variation rate,2015,-0.6,1
Nacional,,General,Annual variation,2015,4.2,4
Nacional,,General,Annual variation,2015,4.5,3
Nacional,,General,Annual variation,2015,4.0,2
Nacional,,General,Annual variation,2015,1.5,1
Nacional,,General,Year-to-date variation rate,2015,4.2,4
Nacional,,General,Year-to-date variation rate,2015,4.3,3
Nacional,,General,Year-to-date variation rate,2015,3.6,2
Nacional,,General,Year-to-date variation rate,2015,-0.6,1
Nacional,,New dwelling,Index,2015,101.678,4
Nacional,,New dwelling,Index,2015,100.328,3
Nacional,,New dwelling,Index,2015,99.726,2
Nacional,,New dwelling,Index,2015,98.268,1
Nacional,,New dwelling,Quarterly variation rate,2015,1.3,4
Nacional,,New dwelling,Quarterly variation rate,2015,0.6,3
Nacional,,New dwelling,Quarterly variation rate,2015,1.5,2
Nacional,,New dwelling,Quarterly variation rate,2015,2.2,1
Nacional,,New dwelling,Annual variation,2015,5.8,4
Nacional,,New dwelling,Annual variation,2015,4.3,3
Nacional,,New dwelling,Annual variation,2015,4.9,2
Nacional,,New dwelling,Annual variation,2015,4.0,1
Nacional,,New dwelling,Year-to-date variation rate,2015,5.8,4
Nacional,,New dwelling,Year-to-date variation rate,2015,4.4,3
Nacional,,New dwelling,Year-to-date variation rate,2015,3.8,2
Nacional,,New dwelling,Year-to-date variation rate,2015,2.2,1
Nacional,,Second-hand dwelling,Index,2015,101.241,4
Nacional,,Second-hand dwelling,Index,2015,101.534,3
Nacional,,Second-hand dwelling,Index,2015,100.852,2
Nacional,,Second-hand dwelling,Index,2015,96.373,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2015,-0.3,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2015,0.7,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2015,4.6,2
