national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2017,113.457,4
Nacional,,General,Index,2017,112.442,3
Nacional,,General,Index,2017,110.41,2
Nacional,,General,Index,2017,108.239,1
Nacional,,General,Quarterly variation rate,2017,0.9,4
Nacional,,General,Quarterly variation rate,2017,1.8,3
Nacional,,General,Quarterly variation rate,2017,2.0,2
Nacional,,General,Quarterly variation rate,2017,2.3,1
Nacional,,General,Annual variation,2017,7.2,4
Nacional,,General,Annual variation,2017,6.7,3
Nacional,,General,Annual variation,2017,5.6,2
Nacional,,General,Annual variation,2017,5.3,1
Nacional,,General,Year-to-date variation rate,2017,7.2,4
Nacional,,General,Year-to-date variation rate,2017,6.2,3
Nacional,,General,Year-to-date variation rate,2017,4.3,2
Nacional,,General,Year-to-date variation rate,2017,2.3,1
Nacional,,New dwelling,Index,2017,113.902,4
Nacional,,New dwelling,Index,2017,114.619,3
Nacional,,New dwelling,Index,2017,112.835,2
Nacional,,New dwelling,Index,2017,110.016,1
Nacional,,New dwelling,Quarterly variation rate,2017,-0.6,4
Nacional,,New dwelling,Quarterly variation rate,2017,1.6,3
Nacional,,New dwelling,Quarterly variation rate,2017,2.6,2
Nacional,,New dwelling,Quarterly variation rate,2017,3.7,1
Nacional,,New dwelling,Annual variation,2017,7.4,4
Nacional,,New dwelling,Annual variation,2017,6.5,3
Nacional,,New dwelling,Annual variation,2017,4.4,2
Nacional,,New dwelling,Annual variation,2017,5.5,1
Nacional,,New dwelling,Year-to-date variation rate,2017,7.4,4
Nacional,,New dwelling,Year-to-date variation rate,2017,8.0,3
Nacional,,New dwelling,Year-to-date variation rate,2017,6.3,2
Nacional,,New dwelling,Year-to-date variation rate,2017,3.7,1
Nacional,,Second-hand dwelling,Index,2017,113.384,4
Nacional,,Second-hand dwelling,Index,2017,112.131,3
Nacional,,Second-hand dwelling,Index,2017,110.064,2
Nacional,,Second-hand dwelling,Index,2017,107.983,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2017,1.1,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2017,1.9,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2017,1.9,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2017,2.1,1
Nacional,,Second-hand dwelling,Annual variation,2017,7.2,4
Nacional,,Second-hand dwelling,Annual variation,2017,6.7,3
